time,seconds_elapsed,z,y,x
1780751929813852700,0.208852783203125,-0.9583254456520081,-9.949356079101562,1.2215359210968018
1780751929910763300,0.30576318359375,-0.8530412912368774,-9.852447509765625,1.2191431522369385
1780751929968983600,0.363983642578125,-0.9272187948226929,-9.850054740905762,1.207179069519043
1780751930066017000,0.46101708984375,-0.8662018179893494,-9.834501266479492,1.2394821643829346
1780751930163051000,0.558051025390625,-0.8566305041313171,-9.835697174072266,1.200000524520874
1780751930260084700,0.655084716796875,-0.898504912853241,-9.863214492797852,1.195214867591858
1780751930357118500,0.752118408203125,-0.8805587291717529,-9.836894035339355,1.1880364418029785
1780751930454152200,0.849152099609375,-0.8039883971214294,-9.80817985534668,1.2095718383789062
1780751930551186200,0.946186279296875,-0.8219345808029175,-9.77826976776123,1.293320655822754
1780751930648220000,1.043219970703125,-0.8506484627723694,-9.848857879638672,1.1892328262329102
1780751930745253600,1.140253662109375,-0.7250252366065979,-9.730413436889648,1.1174482107162476
1780751930803474000,1.198473876953125,-0.8147560954093933,-9.875179290771484,1.2741780281066895
1780751930900507600,1.295507568359375,-0.8769695162773132,-9.708877563476562,1.435693621635437
1780751930997541600,1.392541748046875,-1.0396814346313477,-9.913464546203613,1.26699960231781
1780751931094575400,1.489575439453125,-0.865005373954773,-9.80219841003418,1.482353687286377
1780751931152795600,1.547795654296875,-0.9786644577980042,-9.731609344482422,1.3004990816116333
1780751931249829600,1.64482958984375,-1.0528420209884644,-10.119247436523438,1.0875378847122192
1780751931346863400,1.74186328125,-1.2083754539489746,-9.687342643737793,0.8530412912368774
1780751931405083600,1.800083740234375,-1.0516455173492432,-9.464810371398926,0.6065805554389954
1780751931502117400,1.897117431640625,-1.5158531665802002,-10.40638542175293,0.6592226624488831
1780751931599151000,1.994151123046875,-0.8781659007072449,-9.835697174072266,1.1904292106628418
1780751931696184800,2.091184814453125,-0.9104689955711365,-9.761520385742188,1.0360921621322632
1780751931754405000,2.149405029296875,-1.0289137363433838,-9.833304405212402,1.0193424224853516
1780751931851439000,2.246439208984375,-1.054038405418396,-9.828518867492676,1.2335001230239868
1780751931948472800,2.343472900390625,-1.074377417564392,-9.742377281188965,1.1174482107162476
1780751932045506800,2.4405068359375,-1.1162517070770264,-9.774680137634277,1.1784651279449463
1780751932103727000,2.49872705078125,-1.1808580160140991,-9.844072341918945,1.140179991722107
1780751932200760800,2.5957607421875,-1.0947163105010986,-9.81535816192627,1.077966570854187
1780751932297794800,2.692794921875,-1.171286702156067,-9.873982429504395,1.153340458869934
1780751932394828500,2.78982861328125,-1.160519003868103,-9.743574142456055,1.2454642057418823
1780751932453048800,2.848048828125,-1.26699960231781,-9.76391315460205,1.1306086778640747
1780751932550082300,2.945082275390625,-1.2610175609588623,-9.839286804199219,1.124626636505127
1780751932647116300,3.0421162109375,-1.2215359210968018,-9.77826976776123,1.085145115852356
1780751932744150000,3.13914990234375,-1.26699960231781,-9.865608215332031,1.1341979503631592
1780751932802370300,3.197370361328125,-1.2263215780258179,-9.760323524475098,1.1330015659332275
1780751932899404300,3.294404296875,-1.2813565731048584,-9.81655502319336,1.1365907192230225
1780751932996438000,3.39143798828125,-1.26699960231781,-9.817750930786133,1.1330015659332275
1780751933054658300,3.449658203125,-1.2658032178878784,-9.748359680175781,1.179661512374878
1780751933151692300,3.5466923828125,-1.2610175609588623,-9.797411918640137,1.1676974296569824
1780751933248725800,3.643725830078125,-1.2323036193847656,-9.732806205749512,1.2382856607437134
1780751933345759500,3.740759521484375,-1.2538390159606934,-9.772287368774414,1.3351950645446777
1780751933403980000,3.79897998046875,-1.3950155973434448,-9.783055305480957,1.176072359085083
1780751933501013800,3.896013671875,-1.3543375730514526,-9.805787086486816,1.1437692642211914
1780751933598047700,3.9930478515625,-1.2023934125900269,-9.713663101196289,1.1784651279449463
1780751933695081500,4.09008154296875,-1.3411771059036255,-9.822537422180176,1.2418749332427979
1780751933753301800,4.1483017578125,-1.2263215780258179,-9.781859397888184,1.2023934125900269
1780751933850335200,4.245335205078125,-1.2215359210968018,-9.757930755615234,1.2861422300338745
1780751933947369200,4.342369140625,-1.2538390159606934,-9.787840843200684,1.1940184831619263
1780751934044403000,4.43940283203125,-1.2574282884597778,-9.795019149780273,1.1928220987319946
1780751934102623200,4.497623291015625,-1.2610175609588623,-9.796216011047363,1.1868400573730469
1780751934199657200,4.5946572265625,-1.2681959867477417,-9.736394882202148,1.2263215780258179
1780751934296690700,4.691690673828125,-1.3148560523986816,-9.787840843200684,1.1880364418029785
1780751934354911000,4.749910888671875,-1.2634103298187256,-9.822537422180176,1.2059825658798218
1780751934451945000,4.846945068359375,-1.2789636850357056,-9.76989459991455,1.1856436729431152
1780751934548978700,4.943978759765625,-1.2059825658798218,-9.745966911315918,1.196411371231079
1780751934646012400,5.041012451171875,-1.246660590171814,-9.830911636352539,1.191625714302063
1780751934704232700,5.099232666015625,-1.2681959867477417,-9.787840843200684,1.176072359085083
1780751934801266400,5.196266357421875,-1.2921242713928223,-9.828518867492676,1.1078768968582153
1780751934898300200,5.293300048828125,-1.2454642057418823,-9.791430473327637,1.1629117727279663
1780751934995334100,5.390334228515625,-1.2789636850357056,-9.812965393066406,1.1186445951461792
1780751935053554400,5.448554443359375,-1.2335001230239868,-9.77826976776123,1.1437692642211914
1780751935150588000,5.545587890625,-1.2478569746017456,-9.762716293334961,1.1437692642211914
1780751935247622000,5.642621826171875,-1.2574282884597778,-9.820143699645996,1.1473584175109863
1780751935344655600,5.739655517578125,-1.2251251935958862,-9.757930755615234,1.1748759746551514
1780751935402876000,5.7978759765625,-1.2729816436767578,-9.842875480651855,1.164108157157898
1780751935499909600,5.89490966796875,-1.2059825658798218,-9.820143699645996,1.1126625537872314
1780751935596943400,5.991943359375,-1.200000524520874,-9.77826976776123,1.200000524520874
1780751935693977000,6.08897705078125,-1.2705888748168945,-9.784252166748047,1.1784651279449463
1780751935752197400,6.147197265625,-1.2526426315307617,-9.80817985534668,1.1102696657180786
1780751935849231000,6.244231201171875,-1.2502498626708984,-9.789037704467773,1.1389836072921753
1780751935946265000,6.34126513671875,-1.2263215780258179,-9.787840843200684,1.1521440744400024
1780751936004485000,6.399485107421875,-1.2203395366668701,-9.803394317626953,1.1593226194381714
1780751936101518800,6.496518798828125,-1.2011969089508057,-9.77826976776123,1.1389836072921753
1780751936198552600,6.593552490234375,-1.2394821643829346,-9.828518867492676,1.1162517070770264
1780751936295586600,6.690586669921875,-1.2011969089508057,-9.77109146118164,1.1461620330810547
1780751936353806600,6.748806640625,-1.2729816436767578,-9.829715728759766,1.0839486122131348
1780751936450840300,6.84584033203125,-1.26699960231781,-9.7998046875,1.0875378847122192
1780751936547874300,6.942874267578125,-1.2430713176727295,-9.797411918640137,1.1174482107162476
1780751936644907800,7.03990771484375,-1.2478569746017456,-9.798608779907227,1.1306086778640747
1780751936703128000,7.098128173828125,-1.168893814086914,-9.77826976776123,1.0863415002822876
1780751936800162000,7.195162109375,-1.2059825658798218,-9.772287368774414,1.1461620330810547
1780751936897195500,7.292195556640625,-1.2335001230239868,-9.804591178894043,1.085145115852356
1780751936994229200,7.389229248046875,-1.2634103298187256,-9.80817985534668,1.089930772781372
1780751937052449500,7.447449462890625,-1.2550355195999146,-9.811769485473633,1.0492527484893799
1780751937149483300,7.544483154296875,-1.2765709161758423,-9.811769485473633,1.0959128141403198
1780751937246517000,7.64151708984375,-1.306481122970581,-9.780662536621094,1.109073281288147
1780751937304737300,7.6997373046875,-1.2526426315307617,-9.787840843200684,1.0660024881362915
1780751937401771000,7.79677099609375,-1.246660590171814,-9.817750930786133,1.0396814346313477
1780751937498804700,7.8938046875,-1.1928220987319946,-9.779465675354004,1.0755738019943237
