time,seconds_elapsed,z,y,x
1780853137030093000,0.303093017578125,0.15882360935211182,-9.87667465209961,-1.1303095817565918
1780853137127133700,0.4001337890625,0.15942180156707764,-9.920642852783203,-1.07826566696167
1780853137224174300,0.49717431640625,0.14446666836738586,-9.908679008483887,-1.0785647630691528
1780853137321215000,0.594215087890625,0.2105683982372284,-9.866206169128418,-1.0495518445968628
1780853137418255600,0.691255615234375,0.16031911969184875,-9.903892517089844,-1.1030912399291992
1780853137515296300,0.788296142578125,0.1905284970998764,-9.91286563873291,-1.0561320781707764
1780853137612337000,0.8853369140625,0.243469700217247,-9.888937950134277,-1.0968101024627686
1780853137709377500,0.98237744140625,0.1827518343925476,-9.910174369812012,-1.1644073724746704
1780853137806418200,1.079418212890625,0.20039889216423035,-9.840184211730957,-1.1850453615188599
1780853137903458800,1.176458740234375,0.09391828626394272,-9.888040542602539,-1.1012966632843018
1780853138000499500,1.27349951171875,0.06281159073114395,-9.930811882019043,-1.0630114078521729
1780853138097540000,1.3705400390625,0.19322042167186737,-9.890433311462402,-1.1093723773956299
1780853138194580700,1.467580810546875,0.1737787425518036,-9.911669731140137,-0.99481600522995
1780853138291621400,1.564621337890625,0.03918246924877167,-9.98136043548584,-1.0450652837753296
1780853138388662000,1.661662109375,0.17228323221206665,-9.682855606079102,-1.0528420209884644
1780853138485702700,1.75870263671875,-0.04935196787118912,-9.976574897766113,-1.2601202726364136
1780853138582743300,1.855743408203125,-0.07088737189769745,-9.868897438049316,-1.179063320159912
1780853138679784000,1.952783935546875,-0.4384847581386566,-9.966704368591309,-1.2424731254577637
1780853138728304400,2.001304443359375,-0.1704886108636856,-9.824930191040039,-1.2523435354232788
1780853138776824800,2.049824951171875,0.19322042167186737,-9.766006469726562,-1.057029366493225
1780853138873865500,2.146865478515625,-0.18005990982055664,-9.900602340698242,-1.1024930477142334
1780853138922385400,2.195385498046875,-0.017647067084908485,-9.916455268859863,-1.1644073724746704
1780853139019426000,2.292426025390625,-0.030508488416671753,-9.943075180053711,-1.1524431705474854
1780853139067946500,2.340946533203125,0.008075776509940624,-9.909575462341309,-1.1255239248275757
1780853139116467000,2.389467041015625,0.007178467698395252,-9.897313117980957,-1.150050401687622
1780853139164987400,2.4379873046875,0.030508488416671753,-9.837791442871094,-1.2029916048049927
1780853139213507600,2.486507568359375,0.0062811593525111675,-9.836894035339355,-1.170688509941101
1780853139262028000,2.535028076171875,-0.1381855010986328,-9.899106979370117,-1.191625714302063
1780853139310548200,2.58354833984375,-0.2024926096200943,-9.8838529586792,-1.1515458822250366
1780853139359068700,2.632068603515625,-0.13698910176753998,-9.866206169128418,-1.2675977945327759
1780853139407588900,2.6805888671875,-0.14775680005550385,-9.905388832092285,-1.2604193687438965
1780853139456109000,2.729109130859375,-0.20877377688884735,-9.896714210510254,-1.222732424736023
1780853139504629500,2.77762939453125,-0.20997019112110138,-9.89970588684082,-1.1835498809814453
1780853139553149700,2.826149658203125,-0.15314064919948578,-9.888638496398926,-1.1835498809814453
1780853139601670100,2.874670166015625,-0.13160525262355804,-9.893424034118652,-1.1997014284133911
1780853139650190300,2.9231904296875,-0.21714866161346436,-9.844969749450684,-1.173978567123413
1780853139698710800,2.971710693359375,-0.11246266216039658,-9.868000984191895,-1.1850453615188599
1780853139747230700,3.020230712890625,-0.17647066712379456,-9.879366874694824,-1.277169108390808
1780853139795751200,3.068751220703125,-0.14925231039524078,-9.894919395446777,-1.267298698425293
1780853139844271400,3.117271240234375,-0.05174478888511658,-9.86231803894043,-1.2284153699874878
1780853139892791800,3.165791748046875,-0.07028916478157043,-9.8871431350708,-1.2403794527053833
1780853139941312000,3.21431201171875,-0.06939185410737991,-9.891031265258789,-1.1838489770889282
1780853139989832400,3.26283251953125,-0.03409772366285324,-9.848259925842285,-1.212263822555542
1780853140038352600,3.3113525390625,-0.064606212079525,-9.871291160583496,-1.2433704137802124
1780853140086873000,3.359873046875,-0.07328019291162491,-9.902098655700684,-1.2394821643829346
1780853140135393300,3.408393310546875,0.0005982056609354913,-9.88086223602295,-1.174277663230896
1780853140183913500,3.45691357421875,-0.04247260093688965,-9.885647773742676,-1.1958130598068237
1780853140232434000,3.505433837890625,-0.04217349737882614,-9.929316520690918,-1.1365907192230225
1780853140280954000,3.5539541015625,-0.0568295381963253,-9.881460189819336,-1.2059825658798218
1780853140329474600,3.602474609375,0.010468599386513233,-9.818648338317871,-1.1563315391540527
1780853140377994800,3.650994873046875,-0.054137613624334335,-9.926325798034668,-1.2005987167358398
1780853140426515200,3.69951513671875,-0.0972084179520607,-9.907781600952148,-1.1644073724746704
1780853140475035400,3.748035400390625,0.040677983313798904,-9.870991706848145,-1.1647064685821533
