time,seconds_elapsed,z,y,x
1781788023952030200,0.1580302734375,8.86361312866211,4.37228536605835,-0.5461617708206177
1781788024000558600,0.20655859375,8.866005897521973,4.360321044921875,-0.6948158740997314
1781788024049087000,0.2550869140625,8.615358352661133,4.485645294189453,-0.5988038778305054
1781788024097615400,0.303615478515625,8.64795970916748,4.477270126342773,-0.5736792087554932
1781788024146143700,0.352143798828125,8.722735404968262,4.407878398895264,-0.40797626972198486
1781788024194672000,0.400672119140625,8.590532302856445,4.351646900177002,-0.0011964113218709826
1781788024243200800,0.44920068359375,8.223533630371094,4.320241451263428,-0.07537391036748886
1781788024291729000,0.49772900390625,7.853542804718018,4.144668102264404,-0.1094716340303421
1781788024340257500,0.546257568359375,9.009575843811035,4.763511657714844,-2.0246269702911377
1781788024388786000,0.594785888671875,9.493823051452637,4.663910388946533,-2.740978240966797
1781788024437314300,0.643314208984375,10.060623168945312,3.3795628547668457,-0.755533754825592
1781788024485842700,0.6918427734375,9.533304214477539,3.94097900390625,-0.8697910308837891
1781788024534371000,0.74037109375,9.275178909301758,3.7645082473754883,-0.36699917912483215
1781788024582899500,0.7888994140625,9.078967094421387,3.780360698699951,-0.4175475537776947
1781788024631427800,0.837427734375,8.879166603088379,3.7663028240203857,-0.08793623000383377
1781788024679956200,0.885956298828125,8.47896671295166,3.941876173019409,-0.10797612369060516
1781788024728484600,0.934484619140625,8.81814956665039,3.8524444103240967,0.2925225794315338
1781788024777013000,0.983012939453125,9.417252540588379,3.5135610103607178,0.21804596483707428
1781788024825541400,1.031541259765625,9.642477035522461,3.2159535884857178,0.2231307178735733
1781788024874069800,1.08006982421875,9.15703296661377,3.3613176345825195,-0.07118647545576096
1781788024922598100,1.12859814453125,9.15404224395752,3.58534574508667,-0.04426721855998039
1781788024971126500,1.17712646484375,9.328418731689453,3.583850145339966,0.3332005441188812
1781788025019655000,1.225655029296875,9.001798629760742,3.675973892211914,0.3332005441188812
1781788025068183300,1.274183349609375,9.02662467956543,3.5712878704071045,0.6370890140533447
1781788025116711700,1.322711669921875,8.997013092041016,3.5371899604797363,0.8898309469223022
1781788025165240000,1.371239990234375,8.936594009399414,3.8204405307769775,0.9349954724311829
1781788025213768400,1.4197685546875,9.369994163513184,3.8144583702087402,1.0145567655563354
1781788025262296800,1.468296875,9.311369895935059,4.0010986328125,0.9098708033561707
1781788025310825200,1.5168251953125,9.197710990905762,3.7480576038360596,0.7040880918502808
1781788025359353600,1.565353515625,9.155537605285645,3.623929977416992,0.5647061467170715
1781788025407882000,1.613882080078125,8.676673889160156,3.8437705039978027,0.4992026388645172
1781788025456410400,1.662410400390625,8.202895164489746,4.404588222503662,0.8036893010139465
1781788025504938800,1.710938720703125,8.66351318359375,2.608475685119629,1.999801516532898
1781788025553467100,1.759467041015625,9.408578872680664,4.557429790496826,0.48873403668403625
1781788025601995500,1.80799560546875,8.814560890197754,3.6837503910064697,1.9621145725250244
1781788025650524000,1.85652392578125,8.233104705810547,2.9261229038238525,3.5461630821228027
1781788025699052300,1.90505224609375,6.681957244873047,2.1547367572784424,3.7525441646575928
1781788025747580700,1.95358056640625,6.559325218200684,3.108276605606079,3.5168511867523193
1781788025796109000,2.002109130859375,6.849155902862549,1.1048858165740967,5.673083305358887
1781788025844637400,2.050637451171875,6.296114444732666,2.557927370071411,5.610570907592773
