time,seconds_elapsed,z,y,x
1781678009312189200,0.133189208984375,7.83111047744751,5.732006549835205,-0.05144568532705307
1781678009389825500,0.210825439453125,7.63729190826416,5.7164530754089355,0.6969096064567566
1781678009448052700,0.269052734375,7.953742504119873,5.069792747497559,1.028315544128418
1781678009506280000,0.327280029296875,7.730013370513916,6.9206414222717285,0.8470591902732849
1781678009583916300,0.404916259765625,7.195217609405518,7.1509504318237305,0.46420758962631226
1781678009661552600,0.482552734375,7.613961696624756,6.495316982269287,0.906281590461731
1781678009719780000,0.540780029296875,6.5629143714904785,6.656234264373779,1.095314621925354
1781678009816825300,0.637825439453125,5.1182475090026855,5.399404525756836,1.4003994464874268
1781678009875052500,0.696052490234375,8.331808090209961,6.506682872772217,0.08255238085985184
1781678009991507200,0.812507080078125,8.97368335723877,5.55015230178833,-0.2847459018230438
1781678010088552700,0.909552734375,8.307282447814941,5.3347978591918945,0.29790642857551575
1781678010146780000,0.96777978515625,7.934001445770264,5.394618511199951,0.41515472531318665
1781678010243825200,1.0648251953125,7.813762187957764,5.003392219543457,-0.06400800496339798
1781678010302052600,1.123052490234375,8.904291152954102,4.9531426429748535,0.03768695518374443
1781678010379689000,1.20068896484375,8.46341323852539,5.112864017486572,0.016749758273363113
1781678010457325300,1.2783251953125,8.656036376953125,4.980062007904053,0.07597211748361588
1781678010534961700,1.355961669921875,8.581260681152344,4.941776752471924,0.21296121180057526
1781678010632007000,1.4530068359375,8.15234661102295,5.056034088134766,0.05383851006627083
1781678010709643300,1.530643310546875,8.09671401977539,5.784050464630127,0.5617151260375977
1781678010787279600,1.608279541015625,6.532405853271484,4.155136585235596,1.4691931009292603
1781678010864916000,1.685916015625,5.062016487121582,3.9152560234069824,2.159522533416748
1781678010942552300,1.76355224609375,2.176870346069336,2.8660032749176025,0.22851456701755524
1781678011020188700,1.841188720703125,3.257229804992676,-3.5754752159118652,-0.38344982266426086
1781678011097825000,1.918824951171875,4.256233215332031,-5.708078384399414,6.374479293823242
1781678011175461400,1.99646142578125,7.966903209686279,-10.808380126953125,12.540783882141113
1781678011253097700,2.07409765625,8.51306438446045,-11.654840469360352,17.616558074951172
1781678011311325000,2.132324951171875,4.618147850036621,-7.9142608642578125,12.07478141784668
1781678011369552400,2.190552490234375,0.7585247755050659,-6.729813575744629,14.515460014343262
1781678011427779600,2.248779541015625,5.3216376304626465,-9.561120986938477,3.9385859966278076
1781678011544234000,2.36523388671875,5.586642742156982,-9.738788604736328,4.895715236663818
1781678011621870600,2.44287060546875,1.0498509407043457,-8.592626571655273,2.9252257347106934
1781678011678984700,2.499984619140625,5.700900077819824,-9.45045280456543,1.9417755603790283
1781678011737212000,2.5582119140625,7.539783954620361,-9.366703987121582,1.7682958841323853
1781678011795439000,2.616439208984375,2.977867841720581,-7.542177200317383,3.6885361671447754
1781678011892484600,2.713484619140625,2.5387847423553467,-3.968496322631836,-0.26919254660606384
1781678012028348200,2.84934814453125,6.7178497314453125,-7.836493968963623,0.9511470198631287
1781678012125393400,2.946393310546875,5.496313571929932,-6.563512325286865,-1.0169496536254883
1781678012222438700,3.043438720703125,1.399801254272461,-8.606983184814453,6.820741176605225
1781678012280666000,3.101666015625,3.7112679481506348,-9.91705322265625,-0.7417750358581543
